sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
524.74677,10,-679.23846,140,0.88785,0.13423,0.0,3,10699,89,50.42068,21.28959,6,1463.73828,24090.29297,509.05521,0.30952,-33.46073989860086,-70.68225558057749
524.79681,10,-677.27374,142,0.89801,0.14835,0.0,3,10909,89,50.41893,21.3397,6,1465.6582,24092.21289,509.11026,0.30928,-33.46073990076086,-70.6822566658943
524.85663,10,-674.88818,144,0.92947,0.15474,0.0,3,11102,89,50.41681,21.39959,6,1467.99805,24094.55273,509.12283,0.30894,-33.460739903820865,-70.68225691360297
524.90631,10,-672.87433,146,0.91233,0.16548,0.0,3,11254,89,50.41503,21.44924,6,1469.97852,24096.5332,509.08685,0.30868,-33.46073990616087,-70.68225620409217
524.96649,10,-670.39789,149,0.88531,0.17174,0.0,3,11434,89,50.41284,21.50935,6,1472.42578,24098.98047,508.98288,0.3084,-33.46073990868087,-70.68225415402874
525.01605,10,-668.32739,151,0.94629,0.16215,0.0,3,11604,89,50.41102,21.55913,6,1474.47852,24101.0332,508.84439,0.30816,-33.46073991084087,-70.68225142335702
525.07574,10,-665.80511,153,1.0,0.13909,0.0,3,11875,89,50.40877,21.61878,6,1476.96094,24103.51562,508.61304,0.30787,-33.46073991345088,-70.68224686176441
525.12549,10,-663.6875,154,0.21826,0.11832,0.0,4,10316,89,50.40862,21.66847,6,1479.04688,24105.60156,508.36484,0.30758,-33.46073991606088,-70.68224196794387
525.18579,10,-661.10291,156,0.53178,0.12554,0.0,4,9664,89,50.40732,21.72875,6,1481.60156,24108.15625,507.99728,0.30746,-33.460739917140884,-70.68223472079241
525.23596,10,-658.94775,157,0.61113,0.14241,0.0,4,9732,89,50.4059,21.77895,6,1483.74023,24110.29492,507.63245,0.30779,-33.46073991417088,-70.68222752764157
525.28552,10,-656.81189,158,0.68977,0.13325,0.0,4,9837,89,50.40441,21.82869,6,1485.86719,24112.42188,507.22119,0.30737,-33.46073991795088,-70.68221941875039
525.34491,10,-654.23779,160,0.78366,0.10367,0.0,4,9916,89,50.40255,21.88809,6,1488.44141,24114.99609,506.66693,0.30611,-33.460739929290895,-70.68220849003367
525.39447,10,-652.07788,162,0.86199,0.11747,0.0,4,10029,89,50.40095,21.93764,6,1490.61133,24117.16602,506.15643,0.30649,-33.46073992587089,-70.68219842475668
525.4538,10,-649.47266,164,0.95575,0.13604,0.0,4,10233,89,50.39899,21.99695,6,1493.24023,24119.79492,505.48798,0.30512,-33.4607399382009,-70.6821852445375
